location	date	lat	log	total_cases	percent_world
Aruba	2020-03-13	12.52111	-69.968338	2	0.0014619242
Aruba	2020-03-20	12.52111	-69.968338	4	0.0015901917
Aruba	2020-03-24	12.52111	-69.968338	12	0.0030469458
Aruba	2020-03-25	12.52111	-69.968338	17	0.0039105361
Aruba	2020-03-26	12.52111	-69.968338	19	0.0039018620
Aruba	2020-03-27	12.52111	-69.968338	28	0.0051160522
Aruba	2020-03-28	12.52111	-69.968338	28	0.0045779161
Aruba	2020-03-29	12.52111	-69.968338	28	0.0041487812
Aruba	2020-03-30	12.52111	-69.968338	50	0.0068240101
Aruba	2020-04-01	12.52111	-69.968338	55	0.0063300827
Aruba	2020-04-02	12.52111	-69.968338	55	0.0058162652
Aruba	2020-04-03	12.52111	-69.968338	60	0.0058687398
Aruba	2020-04-04	12.52111	-69.968338	62	0.0056194338
Aruba	2020-04-05	12.52111	-69.968338	64	0.0053858181
Aruba	2020-04-06	12.52111	-69.968338	64	0.0050905117
Aruba	2020-04-07	12.52111	-69.968338	71	0.0053400483
Aruba	2020-04-08	12.52111	-69.968338	74	0.0052685313
Aruba	2020-04-09	12.52111	-69.968338	77	0.0051710996
Aruba	2020-04-10	12.52111	-69.968338	82	0.0052068451
Aruba	2020-04-11	12.52111	-69.968338	86	0.0051677413
Aruba	2020-04-12	12.52111	-69.968338	92	0.0052723876
Aruba	2020-04-13	12.52111	-69.968338	92	0.0050655382
Aruba	2020-04-14	12.52111	-69.968338	92	0.0048878686
Aruba	2020-04-15	12.52111	-69.968338	92	0.0046967219
Aruba	2020-04-16	12.52111	-69.968338	93	0.0045620416
Aruba	2020-04-17	12.52111	-69.968338	95	0.0044779152
Aruba	2020-04-18	12.52111	-69.968338	96	0.0043568694
Aruba	2020-04-19	12.52111	-69.968338	96	0.0042047024
Aruba	2020-04-20	12.52111	-69.968338	97	0.0041183696
Aruba	2020-04-21	12.52111	-69.968338	97	0.0039896992
Aruba	2020-04-22	12.52111	-69.968338	97	0.0038538080
Aruba	2020-04-23	12.52111	-69.968338	100	0.0038710492
Aruba	2020-04-24	12.52111	-69.968338	100	0.0037583911
Aruba	2020-04-25	12.52111	-69.968338	100	0.0036570051
Aruba	2020-04-26	12.52111	-69.968338	100	0.0035273045
Aruba	2020-04-27	12.52111	-69.968338	100	0.0034269085
Aruba	2020-04-28	12.52111	-69.968338	100	0.0033513592
Aruba	2020-04-29	12.52111	-69.968338	100	0.0032728628
Aruba	2020-04-30	12.52111	-69.968338	100	0.0031915895
Aruba	2020-05-01	12.52111	-69.968338	100	0.0031076931
Aruba	2020-05-02	12.52111	-69.968338	100	0.0030215470
Aruba	2020-05-03	12.52111	-69.968338	100	0.0029492157
Aruba	2020-05-04	12.52111	-69.968338	100	0.0028824749
Aruba	2020-05-05	12.52111	-69.968338	100	0.0028197553
Aruba	2020-05-06	12.52111	-69.968338	100	0.0027581710
Aruba	2020-05-07	12.52111	-69.968338	101	0.0027184043
Aruba	2020-05-08	12.52111	-69.968338	101	0.0026511970
Aruba	2020-05-09	12.52111	-69.968338	101	0.0025899149
Aruba	2020-05-10	12.52111	-69.968338	101	0.0025313937
Aruba	2020-05-11	12.52111	-69.968338	101	0.0024834726
Aruba	2020-05-12	12.52111	-69.968338	101	0.0024408422
Aruba	2020-05-13	12.52111	-69.968338	101	0.0023912666
Aruba	2020-05-14	12.52111	-69.968338	101	0.0023435762
Aruba	2020-05-15	12.52111	-69.968338	101	0.0022921632
Aruba	2020-05-16	12.52111	-69.968338	101	0.0022422764
Aruba	2020-05-17	12.52111	-69.968338	101	0.0021963459
Aruba	2020-05-18	12.52111	-69.968338	101	0.0021582285
Aruba	2020-05-19	12.52111	-69.968338	101	0.0021187774
Aruba	2020-05-20	12.52111	-69.968338	101	0.0020773451
Aruba	2020-05-21	12.52111	-69.968338	101	0.0020357412
Aruba	2020-05-22	12.52111	-69.968338	101	0.0019924005
Aruba	2020-05-23	12.52111	-69.968338	101	0.0019513756
